id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
1,2,6,28,con,7.4835565281,76.25,75.77,733.5168822,1,TRUE,Positive,[1],0
1,2,6,29,noc,7.7343867342,76.25,75.77,734.3142387,1,FALSE,Negative,[1],0
1,2,6,30,noc,7.7086119098,76.25,75.77,708.5288418,2,FALSE,Negative,[2],0
1,3,6,1,noc,7.7520779236,74.5,74.75,751.9842833,3,FALSE,Negative,[3],0
1,3,6,2,con,6.2177446545,74.5,74.75,717.671026,3,TRUE,Positive,[3],0
1,3,6,3,con,5.1347338068,74.5,74.75,634.622043,1,TRUE,Positive,[1],0
1,3,6,4,noc,7.6845286484,74.5,74.75,684.4501114,2,FALSE,Negative,[2],0
1,3,6,5,bas,4.7503795633,74.5,74.75,750.3191507,3,TRUE,Positive,[3],0
1,3,6,6,bas,4.6835820526,74.5,74.75,683.4827489,1,TRUE,Positive,[1],0
1,3,6,7,con,5.700687991,74.5,74.75,700.608321,1,TRUE,Positive,[1],0
1,3,6,8,con,6.2500776872,74.5,74.75,750.0308673,3,TRUE,Positive,[3],0
1,3,6,9,con,6.2138472614,74.5,74.75,713.8257395,2,TRUE,Positive,[2],0
1,3,6,10,noc,7.6502499399,74.5,74.75,650.216335,2,FALSE,Negative,[2],0
1,3,6,11,noc,4.7513318234,74.5,74.75,751.2974632,1,TRUE,Positive,[1],0
1,3,6,12,con,6.1343905856,74.5,74.75,634.3135592,1,TRUE,Positive,[1],0
1,3,6,13,bas,4.7678155075,74.5,74.75,767.7328172,3,TRUE,Positive,[3],0
1,3,6,14,noc,4.7515904666,74.5,74.75,751.4964486,2,TRUE,Positive,[2],0
1,3,6,15,noc,7.7691517677,74.5,74.75,769.0467997,3,FALSE,Negative,[3],0
1,3,6,16,bas,4.6836145245,74.5,74.75,683.5669493,2,TRUE,Positive,[2],0
1,3,6,17,con,6.4180620494,74.5,74.75,917.977849,3,TRUE,Positive,[3],0
1,3,6,18,bas,4.7342239968,74.5,74.75,734.1311118,2,TRUE,Positive,[2],0
1,3,6,19,noc,7.7832978466,74.5,74.75,783.2631092,1,FALSE,Negative,[1],0
1,3,6,20,noc,4.6503688782,74.5,74.75,650.2903411,1,TRUE,Positive,[1],0
1,3,6,21,noc,4.7498294273,74.5,74.75,749.8007314,3,TRUE,Positive,[3],0
1,3,6,22,con,6.16676402,74.5,74.75,666.7232411,1,TRUE,Positive,[1],0
1,3,6,23,con,6.2512444132,74.5,74.75,751.152283,3,TRUE,Positive,[3],0
1,3,6,24,con,6.2300892943,74.5,74.75,730.0655069,2,TRUE,Positive,[2],0
1,3,6,25,noc,4.6507864827,74.5,74.75,650.7003945,2,TRUE,Positive,[2],0
1,3,6,26,con,6.3831958245,74.5,74.75,633.1591993,2,TRUE,Positive,[2],0
1,3,6,27,noc,7.8181584082,74.5,74.75,818.0779833,1,FALSE,Negative,[1],0
1,3,6,28,con,7.397068535,74.5,74.75,646.9979272,2,TRUE,Positive,[2],0
1,3,6,29,noc,4.7345120911,74.5,74.75,734.4309115,3,TRUE,Positive,[3],0
1,3,6,30,bas,4.7186514158,74.5,74.75,718.5668377,1,TRUE,Positive,[1],0
1,4,6,1,bas,4.6839430202,74.41,74.76,683.90866,1,TRUE,Positive,[1],0
1,4,6,2,noc,7.8006322221,74.41,74.76,800.5627468,3,FALSE,Negative,[3],0
1,4,6,3,con,6.0170866819,74.41,74.76,517.0545876,2,TRUE,Positive,[2],0
1,4,6,4,noc,7.6513275565,74.41,74.76,651.2490194,3,FALSE,Negative,[3],0
1,4,6,5,con,5.2021056195,74.41,74.76,702.0323686,1,TRUE,Positive,[1],0
1,4,6,6,con,5.7513571209,74.41,74.76,751.2695221,1,TRUE,Positive,[1],0
